id,EAP,HPL,MWS
id02310,1.0,0.0,0.0
id24541,1.0,0.0,0.0
id00134,1.0,0.0,0.0
id27757,1.0,0.0,0.0
id04081,1.0,0.0,0.0
id27337,1.0,0.0,0.0
id24265,1.0,0.0,0.0
id25917,1.0,0.0,0.0
id04951,1.0,0.0,0.0
id14549,1.0,0.0,0.0
id22505,1.0,0.0,0.0
id24002,1.0,0.0,0.0
id18982,1.0,0.0,0.0
id15181,1.0,0.0,0.0
id21888,1.0,0.0,0.0
id12035,1.0,0.0,0.0
id17991,1.0,0.0,0.0
id10707,1.0,0.0,0.0
id07101,1.0,0.0,0.0
id00345,1.0,0.0,0.0
id05912,1.0,0.0,0.0
id13443,1.0,0.0,0.0
id09248,1.0,0.0,0.0
id17542,1.0,0.0,0.0
id06995,1.0,0.0,0.0
id25159,1.0,0.0,0.0
id25729,1.0,0.0,0.0
id26949,1.0,0.0,0.0
id27191,1.0,0.0,0.0
id07668,1.0,0.0,0.0
id02230,1.0,0.0,0.0
id15553,1.0,0.0,0.0
id25688,1.0,0.0,0.0
id17545,1.0,0.0,0.0
id13929,1.0,0.0,0.0
id12880,1.0,0.0,0.0
id19282,1.0,0.0,0.0
id14690,1.0,0.0,0.0
id17975,1.0,0.0,0.0
id08037,1.0,0.0,0.0
id15412,1.0,0.0,0.0
id25032,1.0,0.0,0.0
id27165,1.0,0.0,0.0
id03327,1.0,0.0,0.0
id18515,1.0,0.0,0.0
id21003,1.0,0.0,0.0
id23855,1.0,0.0,0.0
id20724,1.0,0.0,0.0
id13303,1.0,0.0,0.0
id16521,1.0,0.0,0.0
id20775,1.0,0.0,0.0
id13029,1.0,0.0,0.0
id14660,1.0,0.0,0.0
id11028,1.0,0.0,0.0
id14180,1.0,0.0,0.0
id25860,1.0,0.0,0.0
id11910,1.0,0.0,0.0
id08065,1.0,0.0,0.0
id22674,1.0,0.0,0.0
id25018,1.0,0.0,0.0
id10892,1.0,0.0,0.0
id10217,1.0,0.0,0.0
id12996,1.0,0.0,0.0
id18262,1.0,0.0,0.0
id08606,1.0,0.0,0.0
id17233,1.0,0.0,0.0
id00101,1.0,0.0,0.0
id12225,1.0,0.0,0.0
id01364,1.0,0.0,0.0
id24973,1.0,0.0,0.0
id25363,1.0,0.0,0.0
id10061,1.0,0.0,0.0
id17673,1.0,0.0,0.0
id13249,1.0,0.0,0.0
id10107,1.0,0.0,0.0
id04403,1.0,0.0,0.0
id25728,1.0,0.0,0.0
id16184,1.0,0.0,0.0
id03438,1.0,0.0,0.0
id22923,1.0,0.0,0.0
id08610,1.0,0.0,0.0
id25355,1.0,0.0,0.0
id16916,1.0,0.0,0.0
id12793,1.0,0.0,0.0
id11859,1.0,0.0,0.0
